"province","year","dataGDP","dataPI","dataSI","dataTI","dataEstate","dataFinancial"
"北京","2002","4315","82.44","1249.99","2982.57","298.02","561.91"
"北京","2003","5007.21","84.11","1487.15","3435.95","341.88","635.56"
"北京","2004","6033.21","87.36","1853.58","4092.27","436.11","713.79"
"北京","2005","6969.52","88.68","2026.51","4854.33","493.73","840.2"
"北京","2006","8117.78","88.8","2191.43","5837.55","658.3","982.37"
"北京","2007","9846.81","101.26","2509.4","7236.15","821.5","1302.77"
"北京","2008","11115","112.83","2626.41","8375.76","844.59","1519.19"
"北京","2009","12153.03","118.29","2855.55","9179.19","1062.47","1603.63"
"北京","2010","14113.58","124.36","3388.38","10600.84","1006.52","1863.61"
"北京","2011","16251.93","136.27","3752.48","12363.18","1074.93","2215.41"
"天津","2002","2150.76","84.21","1069.08","997.47","73.04","76.86"
"天津","2003","2578.03","89.91","1337.31","1150.81","92.31","112.79"
"天津","2004","3110.97","105.28","1685.93","1319.76","106.14","136.97"
"天津","2005","3905.64","112.38","2135.07","1658.19","122.67","147.4"
"天津","2006","4462.74","103.35","2457.08","1902.31","156.64","186.87"
"天津","2007","5252.76","110.19","2892.53","2250.04","183.44","288.17"
"天津","2008","6719.01","122.58","3709.78","2886.65","227.88","368.1"
"天津","2009","7521.85","128.85","3987.84","3405.16","308.73","461.2"
"天津","2010","9224.46","145.58","4840.23","4238.65","377.59","572.99"
"天津","2011","11307.28","159.72","5928.32","5219.24","411.46","756.5"
"河北","2002","6018.28","956.84","2911.69","2149.75","140.89","179.6"
"河北","2003","6921.29","1064.05","3417.56","2439.68","185.19","199.87"
"河北","2004","8477.63","1370.43","4301.73","2805.47","231.08","209.1"
"河北","2005","10012.11","1400","5271.57","3340.54","330.87","213.47"
"河北","2006","11467.6","1461.81","6110.43","3895.36","397.14","284.04"
"河北","2007","13607.32","1804.72","7201.88","4600.72","467.97","347.65"
"河北","2008","16011.97","2034.59","8701.34","5276.04","513.81","420.74"
"河北","2009","17235.48","2207.34","8959.83","6068.31","612.4","525.67"
"河北","2010","20394.26","2562.81","10707.68","7123.77","697.79","615.42"
"河北","2011","24515.76","2905.73","13126.86","8483.17","918.02","746.01"
"山西","2002","2324.8","197.8","1134.31","992.69","65.83","124.1"
"山西","2003","2855.23","215.19","1463.38","1176.65","78.73","118.48"
"山西","2004","3571.37","276.3","1919.4","1375.67","95.1","110.29"
"山西","2005","4230.53","262.42","2357.04","1611.07","106","135.07"
"山西","2006","4878.61","276.77","2755.66","1846.18","117.01","169.63"
"山西","2007","6024.45","311.97","3454.49","2257.99","134.12","218.73"
"山西","2008","7315.4","313.58","4242.36","2759.46","166.04","290.91"
"山西","2009","7358.31","477.59","3993.8","2886.92","173.31","361.64"
"山西","2010","9200.86","554.48","5234","3412.38","192","448.3"
"山西","2011","11237.55","641.42","6635.26","3960.87","224.91","519.32"
"内蒙古","2002","1940.94","374.69","754.78","811.47","51.48","48.39"
"内蒙古","2003","2388.38","420.1","967.49","1000.79","61.05","55.89"
"内蒙古","2004","3041.07","522.8","1248.27","1270","73.81","55.89"
"内蒙古","2005","3905.03","589.56","1773.21","1542.26","98.75","72.52"
"内蒙古","2006","4944.25","634.94","2374.96","1934.35","136.5","108.21"
"内蒙古","2007","6423.18","762.1","3193.67","2467.41","191.01","148.3"
"内蒙古","2008","8496.2","907.95","4376.19","3212.06","273.3","219.09"
"内蒙古","2009","9740.25","929.6","5114","3696.65","286.65","291.1"
"内蒙古","2010","11672","1095.28","6367.69","4209.03","309.25","346.44"
"内蒙古","2011","14359.88","1306.3","8037.69","5015.89","384.76","447.46"
"辽宁","2002","5458.22","590.2","2609.85","2258.17","130.94","137.18"
"辽宁","2003","6002.54","615.8","2898.89","2487.85","188.49","145.38"
"辽宁","2004","6672","798.43","3061.62","2811.95","203.1","188.04"
"辽宁","2005","8047.26","882.41","3869.4","3295.45","256.77","232.85"
"辽宁","2006","9304.52","939.43","4566.83","3798.26","318.54","303.41"
"辽宁","2007","11164.3","1133.42","5544.14","4486.74","410.43","386.34"
"辽宁","2008","13668.58","1302.02","7158.84","5207.72","500.81","455.07"
"辽宁","2009","15212.49","1414.9","7906.34","5891.25","605.27","560.2"
"辽宁","2010","18457.27","1631.08","9976.82","6849.37","733.37","639.27"
"辽宁","2011","22226.7","1915.57","12152.15","8158.98","876.12","755.57"
"吉林","2002","2348.54","446.17","943.49","958.88","76.11","75.45"
"吉林","2003","2662.08","488.23","1098.37","1075.48","91.99","73.15"
"吉林","2004","3122.01","568.69","1329.68","1223.64","97.93","77.17"
"吉林","2005","3620.27","625.61","1580.83","1413.83","112.29","83.63"
"吉林","2006","4275.12","672.76","1915.29","1687.07","131.01","100.75"
"吉林","2007","5284.69","783.8","2475.45","2025.44","153.03","126.03"
"吉林","2008","6426.1","916.72","3097.12","2412.26","182.7","147.24"
"吉林","2009","7278.75","980.57","3541.92","2756.26","200.14","180.83"
"吉林","2010","8667.58","1050.15","4506.31","3111.12","212.32","190.12"
"吉林","2011","10568.83","1277.44","5611.48","3679.91","238.61","207.65"
"黑龙江","2002","3637.2","474.2","1843.6","1319.4","118.7","31.6"
"黑龙江","2003","4057.4","504.8","2084.7","1467.9","127.2","32.2"
"黑龙江","2004","4750.6","605.79","2487.04","1657.77","137.74","32.2"
"黑龙江","2005","5513.7","684.6","2971.68","1857.42","163.34","35.03"
"黑龙江","2006","6211.8","750.14","3365.31","2096.35","194.7","74.17"
"黑龙江","2007","7104","915.38","3695.58","2493.04","225.81","155.48"
"黑龙江","2008","8314.37","1088.94","4319.75","2905.68","244.47","177.43"
"黑龙江","2009","8587","1154.33","4060.72","3371.95","301.18","227.54"
"黑龙江","2010","10368.6","1302.9","5025.15","4040.55","391.89","304.59"
"黑龙江","2011","12582","1701.5","5962.41","4918.09","492.1","370.78"
"上海","2002","5741.03","79.68","2622.45","3038.9","384.86","485.25"
"上海","2003","6694.23","81.02","3209.02","3404.19","487.82","517.97"
"上海","2004","8072.83","83.45","3892.12","4097.26","666.3","612.45"
"上海","2005","9247.66","90.26","4381.2","4776.2","715.97","675.12"
"上海","2006","10572.24","93.81","4969.95","5508.48","773.61","825.2"
"上海","2007","12494.01","101.84","5571.06","6821.11","958.06","1209.08"
"上海","2008","14069.87","111.8","6085.84","7872.23","939.34","1414.21"
"上海","2009","15046.45","113.82","6001.78","8930.85","1237.56","1804.28"
"上海","2010","17165.98","114.15","7218.32","9833.51","1002.5","1950.96"
"上海","2011","19195.69","124.94","7927.89","11142.86","1019.68","2277.4"
"江苏","2002","10606.85","1110.44","5604.49","3891.92","371.09","368.86"
"江苏","2003","12442.87","1162.45","6787.11","4493.31","447.47","392.11"
"江苏","2004","15003.6","1367.58","8437.99","5198.03","534.17","440.5"
"江苏","2005","18598.69","1461.51","10524.96","6612.22","799.73","492.4"
"江苏","2006","21742.05","1545.05","12282.89","7914.11","1017.91","653.25"
"江苏","2007","26018.48","1816.31","14471.26","9730.91","1365.71","1054.25"
"江苏","2008","30981.98","2100.11","16993.34","11888.53","1626.13","1298.48"
"江苏","2009","34457.3","2261.86","18566.37","13629.07","2025.39","1596.98"
"江苏","2010","41425.48","2540.1","21753.93","17131.45","2600.95","2105.92"
"江苏","2011","49110.27","3064.78","25203.28","20842.21","2747.89","2600.11"
"浙江","2002","8003.67","685.2","4090.48","3227.99","360.63","347.53"
"浙江","2003","9705.02","717.85","5096.38","3890.79","473.16","451.54"
"浙江","2004","11648.7","814.1","6250.38","4584.22","587.83","523.49"
"浙江","2005","13417.68","892.83","7164.75","5360.1","688.86","686.32"
"浙江","2006","15718.47","925.1","8511.51","6281.86","794.41","906.37"
"浙江","2007","18753.73","986.02","10154.25","7613.46","981.42","1251.43"
"浙江","2008","21462.69","1095.96","11567.42","8799.31","1052.03","1653.45"
"浙江","2009","22990.35","1163.08","11908.49","9918.78","1316.84","1899.33"
"浙江","2010","27722.31","1360.56","14297.93","12063.82","1618.17","2326.58"
"浙江","2011","32318.85","1583.04","16555.58","14180.23","1677.13","2730.29"
"安徽","2002","3519.72","783.66","1337.04","1399.02","139.18","81.85"
"安徽","2003","3923.11","749.4","1535.29","1638.42","162.63","87.45"
"安徽","2004","4759.3","950.5","1844.9","1963.9","188.28","94.1"
"安徽","2005","5350.17","966.5","2245.9","2137.77","231.66","127.05"
"安徽","2006","6112.5","1011.03","2711.18","2390.29","281.98","166.01"
"安徽","2007","7360.92","1200.18","3370.96","2789.78","366.57","223.85"
"安徽","2008","8851.66","1418.09","4198.93","3234.64","431.27","313.81"
